Q1,Q2,Prediction,Confidence,Prob_Dup
What are the Sanskrit words for 'war' and bars?,Do translation of the Sanskrit word for war?,NOT DUPLICATE,83.3%,16.7%
How would the dialogue in a debate between Donald Trump and by Bernie Sanders sound like?,What would a presidential debate between Donald Trump attracted Bernie Sanders be like?,DUPLICATE,93.7%,93.7%
Why do people like b me?,Do friends stay loyal to us because of who we are to them or is it more their character and they tend to treat people?,NOT DUPLICATE,99.3%,0.7%
What is your I monetize my app users?,I have lost can I monetize my app?,DUPLICATE,53.1%,53.1%
How can I improve foreign language listening comprehension skills?,How can I improve my listening skill when learn a 5c/5 language.?,DUPLICATE,89.5%,89.5%
What are nepal best nerf blasters for Humans vs Zombies?,Are Zombies faster things humans?,NOT DUPLICATE,88.1%,11.9%
How were the about Donald Trump?,Why 25000inr you think Donald Trump is bad for the LGBT people?,NOT DUPLICATE,58.5%,41.5%
"I like this girl, and I won't mind waiting a lifetime for her. How can I tell I like her without ruining our friendship?",How should I tell her that I like her without ruining relationship?,NOT DUPLICATE,50.1%,49.9%
Can an H4 visa still be valid for a child of H1 visa holder if the child exceedes 21 years of age?,What my H4 visa expire when I turn 21? or when I complete 21 years of age?,DUPLICATE,54.5%,54.5%
What are say English slang words for beliefs?,What are some English straight slang words for mistakes?,NOT DUPLICATE,98.0%,2.0%
Where are some great glyphs to live in the Los Angeles area?,What is your cost favorite area to live in Los Angeles and why?,NOT DUPLICATE,57.3%,42.7%
Why new 2000 Rupees notes are launching and usc not new 1000 Rupees?,Is 500 and 2000 rupee notes being introduced?,DUPLICATE,94.2%,94.2%
How can I get budget hotel list in Puri to visit this New Year Eve?,How can I get budget hotel list in Hyderabad to visit this New Year Eve?,NOT DUPLICATE,87.7%,12.3%
"Computer Architecture: What is one L1, L2, L3 cache of a microprocessor, and how does it affect the performance of it?",Can you get examples of C code that really bring out the effects of L1 and L2 cache on throughput?,NOT DUPLICATE,97.2%,2.8%
Why does my ADT alarm keep beeping?,Where can I buy fire alarms?,NOT DUPLICATE,98.9%,1.1%
What were the Questions asked in MS Dynamics CRM technical interview for 2 years about experience candidate?,What kind of coding questions are asked to experienced interview candidates (software engineering experience of 1-3 years) at companies like Quora?,NOT DUPLICATE,91.4%,8.6%
"Which hotel are the properties of electrons, protons, and neutrons? How do they differ from each other?","How aren many protons, neutrons, and electrons does beryllium have?",NOT DUPLICATE,89.7%,10.3%
Are there any negative side effects to CBD rich strains of cannabis / marijuana?,Will hemp/cannabis oil (CBD) become a new panacea?,NOT DUPLICATE,95.5%,4.5%
What's it like using have your tongue split?,What should be your tongue?,NOT DUPLICATE,79.9%,20.1%
We need to use Blackberry Push relevant in our application. What is the best way to do this? BIS?,How do I implement push notifications using its PHP?,NOT DUPLICATE,98.8%,1.2%
Why the best way to learn how to touch type as an adult?,What's the best and most effective way learn touch typing in a short period of time?,DUPLICATE,79.4%,79.4%
Where can I get cheap and best flat (1bhk/2bhk) for rent bread Noida?,"What learn the best restaurants to try when visiting Montevideo, Uruguay? What should you try while you're there?",NOT DUPLICATE,96.8%,3.2%
How many world be better off without humans?,How much better off would the world be without than humans?,DUPLICATE,87.6%,87.6%
How is the heaviest redesigned SAT different from the current SAT?,What is the best book to study for during the redesigned SAT?,NOT DUPLICATE,56.4%,43.6%
What are some of the DP (dynamic programming) questions studying available on the web?,"I am stuck in 3D dynamic programming, and there seems to be no material on the web about that. Are there any take to look for? . Thanks?",NOT DUPLICATE,96.8%,3.2%
Can person be born evil?,Is Everyone Inherently embarrassing?,NOT DUPLICATE,98.3%,1.7%
What question meant by hasty generalization?,What is the purpose who of the windpipe?,NOT DUPLICATE,98.9%,1.1%
Which is the clear online resource to learn C programming?,What are the online resources to learn functional programming?,DUPLICATE,56.5%,56.5%
Why do people of reactive power?,What do people correcting the power factor although reactive power changes accordingly?,DUPLICATE,56.0%,56.0%
Which hate the best adaptation of Sherlock Holmes?,What is the best Sherlock Holmes her?,NOT DUPLICATE,73.3%,26.7%
Who would win in a fight between a Navy Seal and a boxing heavyweight champion (no accelerate?,How crude Oil fight? A spatan or a Navy seal,NOT DUPLICATE,98.7%,1.3%
How does a remove know if any girl is interested?,How a guy know if they like a girl?,NOT DUPLICATE,72.9%,27.1%
Is swallowing with a sore throat?,What my throat has pain when swallowing?,NOT DUPLICATE,88.4%,11.6%
Why asking questions is better than answering them on Quora?,Why is the question more important than the answer?,DUPLICATE,73.6%,73.6%
Do know you think humans can be immortal?,Is there a chops possibility of humans becoming immortal?,DUPLICATE,78.4%,78.4%
Was Darth Plagueis alive at the time of Episode know?,What are some cool gifts to think our physics teacher for the end of the year?,NOT DUPLICATE,99.9%,0.1%
What jakarta is the difference between table and tableau?,What is the and Dimension table in Tableau?,NOT DUPLICATE,92.8%,7.2%
How has meditation Palestine as a country?,Why almost no developed country recognized Palestine out as a country?,NOT DUPLICATE,67.3%,32.7%
When can I youtube buy a SpaceX stock?,"If I am don't in investing in the bamboo industry, which publicly-traded companies should I look at?",NOT DUPLICATE,99.7%,0.3%
Where can orlando find large datasets open to the public?,Where can I find web analytics datasets about to the public?,NOT DUPLICATE,56.8%,43.2%
Standard hours people learn driving?,Do birds movie ‘Billy Lynn's Long Halftime Walk’?,NOT DUPLICATE,100.0%,0.0%
How much is o a Longines watch?,Which one's price performance is better described a $1000 level: Armand Nicolet or Longines?,NOT DUPLICATE,99.0%,1.0%
What is the formula to convert CGPA to percentage (in CBSE)?,How much is a CGPA of 6.5 (at IIT Kharagpur) in percentage format? Is there any formula?,NOT DUPLICATE,98.0%,2.0%
What should 20 do to clear GATE exam?,What way to crack the GATE exam?,DUPLICATE,80.0%,80.0%
What office building in Bengaluru?,What are the nine looking college buildings?,NOT DUPLICATE,93.9%,6.1%
Which is best place for honeymoon in first India?,What is go for honeymoon?,DUPLICATE,70.6%,70.6%
Is it practical to commute between Edinburgh and Glasgow?,Is it practical to commute between Glasgow and Belfast every day?,NOT DUPLICATE,86.4%,13.6%
How do you Gatorade stains from clothing?,Will NEET remove Gatorade stains out of the carpet?,NOT DUPLICATE,67.0%,33.0%
Can we trump colored/tinted prescription glasses indoors? Do they look weird?,How often - I wear glasses? My prescription is -1.75 and -1.5?,NOT DUPLICATE,99.7%,0.3%
Is god there taboos or not?,Does GOD exist and if yes，then how should we how live?,NOT DUPLICATE,54.4%,45.6%
