source	reference	generated	cos_sim	bertscore_f1	final_score
﻿What are the different types of servers?	﻿What are the types of servers?	The following is a list of different types of servers:	0.9289	0.8076	0.8804
Which is the best activity of SEO on page?	Seo off page best activity?	Which is the best activity of SEO on page?	1.0	1.0	1.0
How would it be like if there are no Muslims in India?	What would India be like if there were no Muslims in India?	How would it be like if there were no Muslims in India?	0.9895	0.9896	0.9895
How can I increase my concentration?	How do we increase concentration?	Take a nap.	0.2519	0.6577	0.4142
How may I know whether my wife is cheating on me?	How will you know if your partner was or still cheating on you?	How may I know whether my wife is cheating on me?	1.0	1.0	1.0
How does one learn how to hack?	How can I learn hacking?	One learns how to hack by using a hack tool.	0.874	0.8577	0.8675
Is Maggi really bad for health?	Is maggi good for health?	Is Maggi really bad for health	0.9939	0.9325	0.9693
How is it possible to send an anonymous text?	Is it possible to send an anonymous text?	How is it possible to send an anonymous text?	1.0	1.0	1.0
I am thinking of living my life alone. I am 15?	I am thinking of living my life alone. I am 15. Is that a good idea?	I am thinking of living my life alone. I am 15.	0.9369	0.9692	0.9498
What are some must read books about indian army?	What are some interesting books about Indian Army?	Indian Army	0.7024	0.7327	0.7145
What are the goals of profit maximization? What are some examples?	What is the goal of profit maximization?	Profit maximization is the goal of maximizing a company's profits.	0.8223	0.7887	0.8089
Why I think negative about myself ?	Why do I always think about everything negatively?	I think negative about myself .	0.8377	0.8909	0.859
How do I get funding for my web based startup idea?	How do I get to just tell investors about my startup idea?	How to get funding for your web based startup idea	0.9903	0.9087	0.9577
Is there a way to learn programming language quickly? How can I do it?	Which is the best way to learn coding?	Is there a way to learn programming language quickly? How can I do it?	1.0	1.0	1.0
Can a person be in love with two persons at a same time?	Do you believe that you can be in love with two people at the same time?	Can a person be in love with two persons at a same time?	1.0	1.0	1.0
What are some ways of finding the supplement of an angle?	How can you find the supplements of an angle?	What are some ways of finding the supplement of an angle	0.9899	0.9632	0.9792
What are the pros and cons of C# vs Java?	What makes C# a better programming language than Java?	C# vs Java is a programming language that is written in C#.	0.745	0.7848	0.7609
Does the law of attraction really work?	How does law of attraction work? Is it real?	does the law of attraction really work	0.9924	0.9443	0.9732
How do I kill rats?	How can I kill a pack rat?	You can kill a rat with a rat nettle.	0.7384	0.7721	0.7519
How do we know the purpose of our life?	How can I find my purpose in life?	How do we know the purpose of our life?	1.0	1.0	1.0
How do I learn machine learning?	How can I understand machine learning?	Take a class on machine learning.	0.6747	0.7777	0.7159
How do I double my IQ in 3 months?	How can I double my IQ in 3 months?	How to double your IQ in 3 months	0.984	0.894	0.948
What are some amazing facts about Microsoft Windows?	What are some of the mind blowing facts about Google?	Microsoft Windows is a Windows operating system.	0.5817	0.7476	0.6481
How much time does Deloitte generally takes to get back after interview?	How long does an audit innovation at Deloitte take to get back after a partner interview?	a week	0.2892	0.6114	0.4181
Is the Panchayati Raj system really strengthening our democracy, or helping the corruption expansion at the grassroot level?	Political Science: Is the Panchayati Raj system really strengthening our democracy, or helping corruption expansion at the grassroots of democracy?	Is the Panchayati Raj system really strengthening our democracy, or helping the corruption expansion at the grassroot level?	1.0	1.0	1.0
How do I get rid of pimples on my face?	How do I get rid of my acne and get nice skin?	Take a shower and wash your face.	0.5866	0.6969	0.6307
What are good topics for an architecture graduation thesis?	What are interesting projects to consider when thinking about a specific architecture topics for a thesis?	What are good topics for an architecture graduation thesis?	1.0	1.0	1.0
Which answers does Quora show first for each question?	How does the ranking of answers on Quora work?	Which answers does Quora show first for each question?	1.0	1.0	1.0
How do I unlock carrier locked iphones?	How do I unlock a carrier locked iPhone?	How to unlock carrier locked iphones	0.9877	0.9127	0.9577
If a question doesn't need improvement, why does Quora mess with your questions?	Why do my questions on Quora need improving?	Why does Quora mess with your questions?	0.7799	0.9152	0.834
Did the United States instigate the Japanese attack on Pearl Harbor?	Did FDR provoke Japan to attack Pearl Harbor to have an excuse to enter WWII? Did FDR instigate the attack?	yes the United States instigated the Japanese attack on Pearl Harbor	0.8917	0.9353	0.9091
What is wrong with India's education system?	What is wrong with Indian engineering education system?	India's education system is failing	0.8824	0.87	0.8774
Who is god? Has anybody seen god?	What and Who is God?	Who is God? Has anybody seen God?	1.0	1.0	1.0
Is cold fusion a pseudoscience?	Is cold fusion possible?	Is cold fusion pseudoscience?	0.9913	0.9594	0.9785
Why is it I am no longer notified of comments on my answer?	Why am I no longer being informed with a notification when someone comments on my answers?	I am no longer informed of comments on my answer	0.7721	0.9219	0.832
How do you measure a football field in feet?	How do you determine the dimensions of a football field in feet?	Use a tape measure to measure the length of the field.	0.5933	0.759	0.6596
What factors should be kept in mind while starting a new business?	What are some of the basic things which must be kept in mind while doing business for the first time?	The following factors should be kept in mind while starting a new business:	0.9638	0.9133	0.9436
What are the best areas to start a baby day care in Dar es Salaam Tanzania?	What are the best areas to start a baby day care in Dar es Salaam, Tanzania?	Tanzania's capital city	0.4714	0.6448	0.5408
What is the best coaching institute for gmat in Delhi?	Which coaching institute is best for Gmat in delhi ncr location? I want to score 700+.	GMAT	0.6424	0.7283	0.6768
Which are the best R rated hollywood movies?	What are the best Hollywood movies for adults?	R rated movies	0.8139	0.844	0.8259
What are some casual outfits with leggings?	What are some ideas for casual outfits that include leggings?	Leggings are a great option for a casual look.	0.7675	0.8151	0.7865
what has your life taught you so far?	What has life taught you recently?	what has your life taught you?	0.9675	0.949	0.9601
How do I overcome smartphone addiction?	How do I fight my phone addiction?	Take a break from the smartphone.	0.6417	0.7103	0.6691
What do I need to make my TV Bluetooth capable?	How do I make my non Bluetooth TV Bluetooth enabled?	You need a TV that is Bluetooth capable.	0.7502	0.8214	0.7787
What is salt bridge, and what is its purpose?	What is the purpose of salt bridge?	salt bridge is a bridge over a river.	0.8272	0.7299	0.7883
How does an inexperienced 25 year old create a social life and love life from scratch?	How do I start my social life from scratch?	A 25 year old inexperienced 25 year old create a social life and love life from scratch	0.9285	0.925	0.9271
"What are some sentence examples using ""subtle""?"	"What are some examples of sentences using the word ""subtle""?"	subtle , subtle , subtle	0.8259	0.6875	0.7705
How do I gain weight fast but still be healthy?	How can I gain weight naturally?	If you want to gain weight fast but still be healthy, you need to eat a healthy diet.	0.8065	0.8572	0.8268
In what language do you think first while speaking English, your main or the English?	When you are speaking English as your second language, do you think in your first onr and then speak in the second one or otherwise?	In what language do you think first while speaking English?	0.9221	0.9508	0.9336
Where can I get the best rates on cruises?	Where can I get the best price on a cruise?	cruiseliner.com	0.6004	0.6458	0.6186
What should I do to beat loneliness?	How can I beat loneliness?	What should I do to beat loneliness?	1.0	1.0	1.0
How will the decision of scrapping INR 500 and INR 1000 notes affect real estate prices?	What will be impact of 500 / 1000 notes ban on real estate?	The decision of scrapping INR 500 and INR 1000 notes affect real estate prices	0.9729	0.9602	0.9678
How does I become an entrepreneur?	How do I become an entrepreneur?	I become an entrepreneur by making money.	0.7806	0.8406	0.8046
Is it sinful to be attracted to women that wear sports shoes (sneakers)?	I'm attracted to females that wear sports shoes, is that lustful and therefore a sin?	Is it sinful to be attracted to women that wear sports shoes (snakers)?	0.8855	0.9789	0.9229
What will happen if Donald trump wins, and its effect on Indian students who are studying in US?	What will happen to Chinese students studying abroad in America now that Trump is president?	Donald Trump will become President of the United States	0.4479	0.7234	0.5581
How do I convince my dad to let me get my ears pierced?	How do I convince my parents to get my ears pierced?	Ask him if he wants to have my ears pierced.	0.7247	0.8043	0.7565
Why is Tamil one of the official languages of Singapore?	Why is tamil spoken in singapore?	Tamil is the official language of Singapore	0.914	0.8819	0.9012
Which is better Canon 700D or Nikon D5200?	Which is better, Canon 700D or Nikon D5200, for photography and short documentaries?	Canon 700D or Nikon D5200	0.9054	0.9207	0.9115
What is the best Bollywood movie in this year 2016?	Which are the best Bollywood movies of 2016?	aamir khan	0.3929	0.6345	0.4895
How can I find out if someone is gay?	How will you know if someone is gay?	You can find out if someone is gay by looking online.	0.8583	0.8536	0.8564
I am self-employed and my parents are directors of my venture; so can I use their Recommendation Letters while applying at US universities for PhD?	I am self-employed and my parents are the directors of my venture. Can I use their Recommendation Letters while applying for PhD at US universities?	I am self-employed and my parents are directors of my venture; so can I use their Recommendation Letters while applying at US universities for PhD?	1.0	1.0	1.0
Which is the best strategy game?	What are some of the best strategy games out there?	strategy game	0.8268	0.8103	0.8202
What is the biggest misconception that foreigners have about india?	What are some misconception in the world about India and its people?	India is a landlocked country	0.4562	0.7181	0.561
What are some music videos of personal stories of domestic violence?	What are some music videos featuring a domestic violence storyline?	Some music videos of personal stories of domestic violence	0.9681	0.9361	0.9553
Why did MS Dhoni leave the captaincy of ODI and T20?	Why MS Dhoni has quit the captaincy from limited overs?	MS Dhoni left the captaincy of ODI and T20	0.9357	0.9389	0.937
Why did Lakshmana hurt Surpanaka?	Why did Lakshmana hurt Surpanka?	Lakshmana hurt Surpanaka	0.8557	0.8966	0.8721
How do you feel about zoos?	Why animals should not be kept in zoos?	How do you feel about zoos?	1.0	1.0	1.0
How would demonetization curb black money?	Will demonetization succeed in getting rid of black money in India?	Demonetization would curb black money.	0.9549	0.9166	0.9396
Is there any way to unblock yourself on Facebook if someone blocked you?	Is there anyway to unblock yourself on Facebook if someone blocked you?	Is there any way to unblock yourself on Facebook if someone blocked you?	1.0	1.0	1.0
How much money can I make from day trading?	How can I make money from intraday trading?	How much can I make from day trading?	0.9788	0.9743	0.977
What kind of profile do I need to get in good universities of Germany for MS in Mechanical Engineering?	What kind of a profile should I need to land a decent university in Germany?	I need to get a good profile in good universities of Germany for MS in Mechanical Engineering	0.9211	0.9219	0.9214
I'm a chubby girl and my face looks swollen. How can I slim my face?	My face is fat. How do I slim down my moon face?	I'm a chubby girl and my face looks swollen. How to slim my face	0.9881	0.9517	0.9735
Did Donald Trump knowingly mock a reporter for his disability or was he truly unaware of it?	Did Donald Trump really mock a disabled reporter?	did Donald Trump knowingly mock a reporter for his disability	0.9538	0.9232	0.9416
What is plasma as a state of matter?	What is plasma matter?	a state of matter	0.7051	0.8628	0.7682
What are some tips on how to independently study nuclear science?	How should I study in nuclear science?	What are some tips on how to independently study nuclear science	0.992	0.9637	0.9807
How is India fighting corruption by scrapping 500 and 1000 rupee notes?	How will the India demonetization of 500 and 1000 rupees notes will reduce black money?	India is fighting corruption by scrapping 500 and 1000 rupee notes	0.9414	0.9444	0.9426
Who is going to win the 2016 presidential election?	All biases aside, at this point in time, who do you think will win the presidential election?	Donald Trump	0.4116	0.6299	0.4989
What are your views on Donald Trump winning the USA elections 2016?	How do you fee about Donald Trumph winning the election in 2016?	What are your views on Donald Trump winning the USA elections 2016?	1.0	1.0	1.0
When will the NTSE exam of class 10 will be held class 2016?	How do I register for the NTSE exam 2016?	10th class	0.6249	0.6958	0.6533
Is it healthy to eat fish every day?	What is a cheap healthy diet I can keep the same and eat every day?	Is fish healthy to eat every day?	0.9834	0.9589	0.9736
How to learn MATLAB?	How can I learn Matlab online?	MATLAB is a programming language written in Objective-C.	0.7176	0.7284	0.7219
Is anal sex good?	Is anal sex bad?	Is anal sex good	0.9844	0.9	0.9506
What is the cause if a sudden headache?	What causes sudden headaches?	The headache is caused by an infection.	0.7778	0.7879	0.7818
Do you how do you get meth out of your system?	How can I get clean from smoking crystal meth In 72 hours?	Do you how to get meth out of your system?	0.9905	0.965	0.9803
How long does meth say in your urine?	How long can meth be detected through a urine drug screen?	10 seconds	0.2891	0.5872	0.4083
Is a Headspace subscription worth it?	How good is the paid subscription for the headspace app?	Is Headspace worth it?	0.8297	0.9439	0.8754
Should there be statutes of limitations?	Why is there a statute of limitations?	Should there be statutes of limitations?	1.0	1.0	1.0
Do new 2000 INR really have a NGC (Nano GPS Chip), or is it just a rumour?	Are the notes of Rs. 2000 really embedded with a GPS chip?	Do the new 2000 INR actually have a NGC (Nano GPS Chip)?	0.9464	0.9273	0.9388
Is it possible to get pregnant if a couple is trying just 4 days before her menstrual cycle?	Can I get pregnant a couple hours before I got my period?	Is it possible to get pregnant if a couple is trying just 4 days before her menstrual cycle?	1.0	1.0	1.0
What are some things to do in Goa?	Which is best place to travel in Goa?	Goa is a popular tourist destination.	0.7412	0.7054	0.7269
How can you tell if someone is a psychopath?	How would you tell if someone is a psychopath or a sociopath?	You can tell if someone is a psychopath by looking at their body language.	0.8694	0.8844	0.8754
Is Germany the best place to do MS in pharmacy?	Is Germany the best place to do an MS in Pharmacy?	Is Germany the best place to do MS in pharmacy?	1.0	1.0	1.0
How do I make money from home?	What is best way to make money online?	How to make money from home	0.9743	0.8936	0.942
What are the ways to earn money while studying?	How can I make money while am still in college?	How to earn money while studying	0.9559	0.8925	0.9305
Where do I get cheap accommodation in goa?	What are cheap but good hotels to live in goa?	Goa Hotels	0.7252	0.7456	0.7334
Has anyone living in india seen a UFO?	Have you seen a ufo?	Has anyone in India seen a UFO?	0.9942	0.978	0.9877
What is some proof that the Illuminati is real?	Is the illuminati real or fake?	What is some proof that the Illuminati is real	0.99	0.9624	0.979
What are the negative side effects of masturbation?	What are the effects of masturbation?	Masturbation can lead to sexually transmitted infections (STIs).	0.5575	0.7653	0.6406
What should be the first question one should ask on Quora?	What can be my first question for Quora?	What is the first question one should ask on Quora?	0.9784	0.9752	0.9771
What are the demographics of Quora users?	How can I know the demographics of Quora users?	demographics	0.7184	0.7089	0.7146
What's the most unusual dream you've ever had?	What are the weirdest/creepiest dreams you have ever had?	what is the most unusual dream you've ever had?	0.9982	0.9812	0.9914
What would happen if Hillary Clinton dropped out of the race for the White House due to health reasons or a criminal indictment?	What would happen in the US election now if Clinton was to drop out due to bad health, criminal action or death? Would a third party stand a chance?	a criminal indictment	0.363	0.7226	0.5068
Why has the Tata sons board voted to remove Cyrus Mistry as chairperson?	Why did Tata group fire Cyrus Mistry from chairman post?	Cyrus Mistry is the current chairman of the board.	0.6403	0.7914	0.7007
Is universe expanding or not?	Is our universe expanding?	Is universe expanding or not?	1.0	1.0	1.0
Will war happen between India and Pakistan?	If war happen between India and Pakistan, then what could be the impact on Indian economy and stock market?	Will war happen between India and Pakistan?	1.0	1.0	1.0
How do I change the WiFi password on a router?	How can I change my wifi password?	To change the WiFi password on a router, you'll need to change the password on the router itself.	0.8383	0.8701	0.851
What are the top 10 TV series one should genuinely watch?	What are the top 10 best TV series of all time?	Top 10 TV series one should genuinely watch	0.9413	0.9165	0.9314
What is the best and most advisable age for a man to get married?	At what age is a man suppose to get married?	18	0.3235	0.5072	0.397
What should I ask my client when building a website?	What questions do you ask clients that need a website?	What should I ask my client when building a website?	1.0	1.0	1.0
Is there a way for the DNC to replace Hillary Clinton at this point? Who would replace her if she withdraws from the race?	Who will replace Hillary Clinton if she drops out of the race because of her health problems?	Is there a way for the DNC to replace Hillary Clinton at this point?	0.9039	0.9317	0.915
What are the safety precautions on handling shotguns proposed by the NRA in Alaska?	What are the safety precautions on handling shotguns proposed by the NRA in Mississippi?	safety precautions on handling shotguns	0.8161	0.8557	0.8319
Can you get a list of individual telephone numbers?	How can you get a list of cell phone numbers and names?	Can you get a list of individual telephone numbers?	1.0	1.0	1.0
Where can I found best quality commercial and residential fire sprinkler systems in Sydney?	Where can I get top-quality fire sprinkler services in Sydney?	Sydney Fire Station	0.6411	0.7203	0.6728
How it will the latest change in the denominations of Rs. 500 and 1000 affect the economy?	Will scraping 500 and 1000 rupees change anything in reality?	The latest change in the denominations of Rs. 500 and 1000 will affect the economy	0.9705	0.9454	0.9605
What is the best way to deal with back pain?	How do I deal with back pain as a teenager?	The best way to deal with back pain is to rest.	0.9217	0.9113	0.9175
How I do prepare for GATE 2018 CSE without coaching?	How can I prepare for GATE 2018 without coaching?	I do prepare for GATE 2018 CSE without coaching	0.9419	0.9482	0.9444
What is the best programming language I should learn as a beginner?	Which coding language is the best for beginners to start with?	Programming languages	0.6819	0.7063	0.6917
What questions can I ask my girlfriend to find out if she loves me?	What five questions should I ask my girlfriend to find out if she really loves me?	What can I ask my girlfriend to find out if she loves me?	0.9322	0.9814	0.9519
How does our brain discern different wavelengths of light and turn them into color?	How does brain perceive color?	How does our brain discern different wavelengths of light and turn them into color?	1.0	1.0	1.0
How long do top writers on Quora spend on their answers?	How long do Top Writers spend for answering a single question?	a week	0.4315	0.6146	0.5047
What can I do with just python?	What can I do/build with Python?	What can I do with just Python?	1.0	1.0	1.0
How can we improve our personality?	How do I improve personality?	How can we improve our personality?	1.0	1.0	1.0
Which is the funniest incident happened with you?	What is the funniest incident of your life?	The funniest incident happened with you	0.8806	0.9276	0.8994
How can I increase memory power?	How can I improve my memory power?	You can increase memory power by increasing the amount of memory you have.	0.8648	0.8141	0.8445
Is Hillary Clinton seriously ill?	Does Hillary Clinton have a serious health issue that people would care about?	Is Hillary Clinton seriously ill?	1.0	1.0	1.0
How do I become mentally strong?	How do I become emotionally and mentally strong?	I should eat a lot of fruits and vegetables.	0.1996	0.682	0.3926
How do I get a fake passport?	How do I get a good fake passport?	You can get a fake passport by visiting a fake passport website.	0.8839	0.824	0.8599
What is your analysis of the US Presidential political debate 9/26/2016?	What do you think of the first US presidential debate?	What is your analysis of the US Presidential political debate	0.9118	0.9047	0.909
What are Covert channels?	What is a covert channel?	covert channels	0.9408	0.8467	0.9032
Is it appropriate for a woman to show cleavage?	Is it appropriate for a women to show cleavage?	Is it appropriate for a woman to show cleavage?	1.0	1.0	1.0
What are some attention grabbers for a speech on global warming?	How do I write a short speech about global warming?	What are some attention grabbers for a speech on global warming?	1.0	1.0	1.0
What is the approach for solving GSS1 and GSS3 on SPOJ using segment trees?	Could anyone else explain Spoj GSS1 problem by drawing a segment tree?	SPOJ using segment trees	0.8003	0.8533	0.8215
Where's the weirdest place you've masturbated?	Life Experiences: weirdest places where you have masturbated?	santa claus	0.2042	0.6028	0.3636
Why are so many people obsessed with the flat Earth theory?	Why is there the flat Earth debate?	the flat earth theory	0.7073	0.8222	0.7533
Does skipping increase height?	What do I do to increase my height?	Skipping increases height	0.9415	0.8619	0.9097
What are the most highly anticipated movies coming out in 2017?	What are the upcoming movies of year 2017?	The Avengers: Age of Ultron	0.364	0.5725	0.4474
Where is jQuery used?	What is jQuery used for?	in web development	0.2521	0.6634	0.4166
What is a third world country?	What are First World, Second World and Third World countries?	third world country	0.8964	0.8184	0.8652
What are some examples of terrestrial biomes?	What is a terrestrial biome? What are some examples?	Terrestrial biomes	0.8847	0.8242	0.8605
Why do people write questions on Quora that could be answered with a quick web search?	Why do so many people ask questions on Quora that can be found in a Google search?	Why do people write questions on Quora that could be answered with a quick web search	0.9981	0.9786	0.9903
Which are the best Bollywood movies of 2016?	What are the best Bollywood movies of 2016 so far?	Best Bollywood Movies of 2016	0.9727	0.8865	0.9382
Instagram (product): How can I login to Instagram if I don't remember the password, and I dont know the email address that was used to set up the account?	I have an old instagram account but I dont know the password or the email I used for it, and its not linked with my Facebook account. how do I delete it?	How can I login to Instagram if I don't remember the password, and I dont know the email address that was used to set up the account?	0.9821	0.9706	0.9775
How can I make my Quora feed more diverse?	How do I make my Quora feed diverse?	How to make your Quora feed more diverse	0.9934	0.9058	0.9584
What are some mind-blowing inventions and technology that most people don't know about?	What are some mind blowing gadgets that most people donâ€™t know about?	inventions and technology that most people don't know about	0.8591	0.9177	0.8825
Did RBI confirm that GPS chips have been used in new 2000 rupees notes?	Is it true that the new 2000 rupees notes have a GPS chips?	Did the RBI confirm that GPS chips have been used in new 2000 rupees notes	0.993	0.9618	0.9805
How do I learn some simple, practical ways of doing meditation?	What's the best way to learn meditation?	How to learn some simple, practical ways of doing meditation	0.9926	0.9312	0.968
I'm 19 years old and want to start learning programming and coding from the zero . where and how do I start?	How can I start programming from zero level?	from the zero	0.3736	0.7316	0.5168
What are all the good resources you would suggest to someone who would want to learn about speech recognition?	Where do I find research resources for speech recognition?	I would suggest the following resources:	0.4806	0.754	0.59
Do men actually like lingerie?	Do men appreciate Lingerie?	Do men actually like lingerie?	1.0	1.0	1.0
How do I calculate square roots and cubed roots by hand?	What is the method to calculate a square root by hand?	How to calculate square roots and cubed roots by hand?	0.9969	0.9632	0.9834
How many sleeping pills causes death?	How many sleeping pills can cause death?	one	0.1636	0.5878	0.3333
Have there ever been any black members of the KKK?	Is it true that black people were members of the KKK?	have there ever been any black members of the KKK	0.9843	0.9596	0.9744
Why does a bad person become good?	Can a bad person become good?	a bad person becomes good	0.8821	0.8766	0.8799
Is it a three-year UK BSc. (honours) software engineering degree equal a four-your BSc?	Is it possible to give a British (UK) BSc. (honours) software engineering degree in 3 years?	is it a three-year UK BSc. (honours) software engineering degree equal to a four-your BSc.	0.9885	0.9733	0.9824
Why my question was marked as needing imrovement?	Why were my last few questions I asked marked as needing improvement?	Why my question was marked as needing imrovement?	1.0	1.0	1.0
How do you get out of Quora?	How do get out of Quora?	go to https://www.qora.com/	0.186	0.5854	0.3458
When do I start preparing for the UPSC exam?	Where from and how should I start preparing for the UPSC?	When do I start preparing for the UPSC exam?	1.0	1.0	1.0
How do you make a promissory note for school?	How do you write a promissory note for school?	Make a promissory note and write it on a piece of paper.	0.7542	0.816	0.7789
What was your worst nightmare ever?	What was your worst nightmare?	What was your worst nightmare ever?	1.0	1.0	1.0
What is the state of journalism today?	What is the state of journalism?	The state of journalism today	0.9454	0.8818	0.92
What is the male equivalent of mistress?	What is the word that describes the male version of a mistress?	a mistress	0.8013	0.7425	0.7778
What will be Hillary Clinton's foreign policy towards India if she comes into power in 2016?	What is the foreign policy of the United States towards India be if Hillary Clinton were elected its president?	foreign policy towards india	0.6741	0.7709	0.7128
Can 3G mobile support relience Jio sim?	Is it possible to run Jio 4G in 3G mobile phones? If yes then how?	Can 3G mobile support relience Jio sim?	1.0	1.0	1.0
Since more and more dark energy appears does this mean that it is infinite or that the potential dark energy that can be created is infinite?	If infinite (dark) energy can appear with expansion, is it infinite? Or at least potentially infinite?	the potential dark energy that can be created is infinite	0.8587	0.8856	0.8695
How are cyclones and hurricanes named?	How do hurricanes get their names?	cyclones	0.7574	0.7354	0.7486
What are some good stocks to invest in right now?	What are the best stocks to invest in right now?	What are some good stocks to invest in	0.9428	0.9238	0.9352
How many people have ever lived?	What is a rough estimate of the total number of humans that have ever lived?	How many people have lived?	0.9656	0.9741	0.969
Newton laws of motion?	What are Newton's laws of motion?	Newton's laws of motion	0.9384	0.892	0.9198
How do I fix a PS3 controller?	How I fix PS3 controller problems?	You can fix a PS3 controller by using a screwdriver or a screwdriver.	0.8968	0.8119	0.8628
How does one start a hedge Fund?	How can I start a hedge fund?	A hedge fund is a type of financial institution that invests in stocks, bonds, and mutual funds.	0.6801	0.7586	0.7115
What are the benefits of fish oil?	What is the benefit of fish oil?	Fish oil is a good source of omega-3 fatty acids.	0.6674	0.7646	0.7063
What is Marianas web?	What is Mariana web?	Marianas web	0.9128	0.8186	0.8751
How can I sleep in noise?	How do I sleep in noise?	Take a nap in the middle of the night.	0.4864	0.6996	0.5717
"What does ""Quora "" mean?"	"What does ""Quora"" mean?"	question	0.1131	0.6151	0.3139
What is the best way to learn white hat hacking?	What are the best way to learn hacking?	The best way to learn white hat hacking is to learn white hat hacking.	0.944	0.9112	0.9309
Do people get paid to write answers on Quora?	Do people get paid for giving answers on Quora or is this just a passion?	do people get paid to write answers on quora	0.9956	0.9632	0.9826
Who do you think will win the US presidency and why?	Who should win the US Presidency? And why?	who do you think will win the US presidency	0.9426	0.9347	0.9394
Why are oceans blue?	Why is the color of the sea blue?	Why are oceans blue?	1.0	1.0	1.0
How did Donald Trump win the presidency?	How and Why did Donald Trump win the election?	Donald Trump was elected President of the United States	0.6789	0.8081	0.7306
Why are my all questions marked for improvement?	Why are all my questions on Quora marked needing improvement?	Why are my questions marked for improvement?	0.9667	0.9791	0.9717
Do you think that Donald Trump would be the worst president the United States would ever have?	Is Donald trump going to be the worst president?	Do you think that Donald Trump would be the worst president the United States would ever have?	1.0	1.0	1.0
What is the preparation strategy for CAT 2017?	What are best ways to prepare for cat 2017?	What is the preparation strategy for CAT 2017?	1.0	1.0	1.0
What the best science documentaries?	What are some good science documentaries?	What are the best science documentaries?	0.9942	0.9574	0.9795
How is the printing of new currency note like Rs 2000 going to help in curbing future black money market?	How is replacing 1000 rs notes with 2000 rs notes going to make black money hoarding a lot harder?	The printing of new currency note like Rs 2000 going to help in curbing future black money market	0.9738	0.9543	0.966
Does minoxidil really work?	How Minoxidil works?	Does minoxidil really work?	1.0	1.0	1.0
Did anybody send their teenager daughter to a therapeutic boarding school?	Did anybody send their teen daughter to a therapeutical boarding school?	Did anybody send their teenager daughter to a therapeutic boarding school?	1.0	1.0	1.0
What are the best ways to build up my credit score?	What are some good ways to build your credit when you have none?	How can I build up my credit score?	0.9708	0.8903	0.9386
How can you fix the speakers of an iPhone 4?	How do you fix broken iPhone 4 speakers?	You can use a screwdriver to fix the speakers of an iPhone 4	0.8466	0.8768	0.8587
How can I control my lust?	How can I overcome lust?	How can I control my lust	0.9928	0.951	0.9761
Who won the first Clinton-Trump debate? And why?	Who won the 09/26/16 debate? Does it matter?	democrats	0.2908	0.5816	0.4071
Is Donald Trump gonna end in a conflict, but not quit as elected President?	Is Donald Trump gonna end in conflicts but not quit as elected President?	Is Donald Trump gonna end in a conflict, but not quit as elected President?	1.0	1.0	1.0
How do I beat boredom?	How did you beat boredom?	Take a nap.	0.418	0.6523	0.5117
Are anabolic steroids really dangerous?	How are anabolic steroids dangerous?	Are anabolic steroids really dangerous?	1.0	1.0	1.0
What is the best way to make poppy seed tea?	How is poppy seed tea made?	You can make poppy seed tea by boiling the seeds in boiling water for a few minutes.	0.8761	0.7872	0.8405
What is the best way to get your girl back?	How can I get a girl back into me?	The best way to get your girl back is to get her back.	0.8745	0.9135	0.8901
When will I get married, advice from astrologers?	When will I get married, any astrologer there?	When will I get married?	0.7742	0.886	0.8189
What are the best books on contemporary history of India?	Which are the best books to read on Indian history?	The history of India	0.7495	0.7855	0.7639
How much is the salaries of the president of the USA?	How much is the President of the USA paid?	$45 million	0.4566	0.5743	0.5037
