source	reference	generated	cos_sim	bertscore_f1	final_score
How do I work smarter instead of harder?	How can I work smarter at office, not harder?	How to work smarter instead of harder	0.9664	0.897	0.9386
Why the hell does Quora mark all my questions as needed improvement?	What makes a question on Quora needing improvement?	Quora mark all my questions as needed improvement?	0.8705	0.9049	0.8843
What is the best resume format?	What are the best formats for a resume?	format of resume	0.8541	0.7876	0.8275
How do you wash a baseball cap?	What is the best way to clean a baseball cap?	Place the cap in the washing machine and turn it on.	0.6926	0.7249	0.7055
If a girl smiles at me and waves at me, does it mean she finds me attractive?	The girl I like smiles at me every time she notices me looking at her. Does it mean she likes me or just likes the attention?	it means she finds me attractive?	0.7639	0.8728	0.8075
Where can I find different types of designer sliding wardrobes in Sydney?	Where can I found high quality custom made hinged or sliding door wardrobes in Sydney?	Sydney Fashion Week	0.5955	0.6993	0.637
Why is Arabic such a difficult language to learn?	What makes Arabic so difficult to learn?	Arabic is a very difficult language to learn.	0.8991	0.8762	0.8899
Why do I get a feeling that Zee News is pro BJP/Modi all the time?	Why is ZEE News so anti-AAP?	Zee News is pro BJP/Modi all the time	0.9323	0.8877	0.9145
When crude oil prices will be stabilise?	When will the crude oil price stabilize?	when crude oil prices will be stable	0.9037	0.912	0.907
Is it true that the new 500/- & 2000/- notes have tracker chips in them?	Do the new â‚¹2000 notes really have GPS chips or something similar?	yes	0.1255	0.6044	0.3171
How can I stop my dog from humping my furniture?	How do I stop my Pug/Cavalier mix from humping my furniture?	Place a piece of furniture on top of the dog's head.	0.5927	0.7276	0.6467
What are the top ten engineering colleges?	What are the top ten engineering colleges in world?	top ten engineering colleges	0.9496	0.8736	0.9192
Why are white people NOT white? I see that they are yellow, pink, red, orange and brown. Hence, why are they called white?	Why are so-called white people labeled as white when in fact their skin is not white?	I see that they are yellow, pink, red, orange and brown. Hence, why are they called white	0.8762	0.9422	0.9026
What is the best way to overcome porn and masturbation addiction?	What is the most effective way to break a porn addiction?	The best way to overcome porn and masturbation addiction is to eat healthy.	0.8481	0.9221	0.8777
Who won the 2nd presidential Debate?	What are your thoghts on the second presidential debate?	gerald ford	0.354	0.5995	0.4522
What are the facilities provided to an IES officer?	What are the facilities to an IES officer?	IES Officers are trained in the use of firearms.	0.6287	0.7703	0.6853
What is a symposium?	What is symposium?	symposium	0.8585	0.7534	0.8165
What is the best way to teach children about money?	How would you teach your kids the value of money?	What is the best way to teach children about money?	1.0	1.0	1.0
What is the best treatment for hair loss?	What's the best treatment for hair loss?	Treatment of hair loss	0.8943	0.8511	0.877
What is eNlight cloud?	How does enlight cloud works?	eNight Cloud	0.7314	0.7837	0.7523
How do I meditate properly?	How can I do meditation properly?	Take a few deep breaths and focus on your breathing.	0.5028	0.6726	0.5707
Is Illuminati a real theory?	Do the Illuminati really exist?	Is Illuminati a real theory	0.9906	0.936	0.9688
How do I delete my questions off Quora?	How do you delete a question on Quora?	"Click on the question you want to delete and click on the ""Delete"" button."	0.7363	0.7316	0.7344
What points should one focus on in their SOP for applying in an MS in engineering management?	What points should one focus on while writing SOP for MS in Engineering Management?	What points should one focus on in their SOP	0.7228	0.8921	0.7905
What are the ways of losing weight?	What are the best things to do when working on losing weight?	What are the ways of losing weight	0.9655	0.9522	0.9602
Which crimes should require a death penalty?	What are some crimes that result in the death penalty?	Which crimes should require a death penalty?	1.0	1.0	1.0
What were the major effects of the cambodia earthquake, and how do these effects compare to the Vallenar earthquake in 1922?	What were the major effects of the cambodia earthquake, and how do these effects compare to the Chile earthquake in 2010?	major effects of the cambodia earthquake	0.8843	0.8271	0.8614
What are the ill effects of black money on indian economy?	How does black money impact a nation's economy?	The ill effects of black money on Indian economy	0.9367	0.9412	0.9385
Is creatine a safe supplement?	Is creatine safe to use?	Is creatine a safe supplement?	1.0	1.0	1.0
Who are the greatest hip hop producers of all time? Why?	Who are the top ten hip hop producers of all time?	the greatest hip hop producers of all time	0.9394	0.9011	0.9241
What is a stake?	What is stake?	What is a stake?	1.0	1.0	1.0
What is the most popular version of Bible used among Israeli people?	What are the most popular versions of the Bible among the Israelites nowadays?	bible of israel	0.715	0.7562	0.7315
Why does quora mark my questions as needing improvement?	"Why does Quora keep marking my questions as ""needing improvement""?"	Quora mark my questions as needing improvement	0.9004	0.9118	0.905
Do you really think everything happens for a reason?	Do you believe that everything happens for a reason?	Do you really think everything happens for a reason?	1.0	1.0	1.0
Do Dogs know that they are dogs?	Do dogs even know they are dogs?	Do dogs know that they are dogs?	1.0	1.0	1.0
How could I avoid laziness?	How can someone reduce laziness?	I could avoid laziness by taking a nap.	0.7655	0.8604	0.8035
How can I lose weight ?	Whats the most effective way/ solution to lose weight in a short time?	How can I lose weight?	1.0	1.0	1.0
What will be the effect of banning 500 and 1000 notes on gold rate and real estate?	What will be the effect of recent demonetization of rs500 and rs 1000 notes on the real estate or property business?	The gold rate will increase.	0.6128	0.7713	0.6762
Why should you meditate?	Why do you meditate and why should you meditate?	Why should you meditate?	1.0	1.0	1.0
How do I hack WhatsApp?	How do I read my girlfriends messages on WhatsApp?	How to hack WhatsApp	0.9843	0.8885	0.946
How do I do helical welding by hand? Please describe the proper procedure of welding a strip of flanges in a helical trajectory, on to a metal shaft.	How do I make helical welding by hand? Please describe the proper procedure of welding a strip of flanges in a helical trajectory, on to a metal shaft	How do I do helical welding by hand?	0.8201	0.8923	0.849
What is your review of Violences Against Women in India?	What should be done to improve the standards of safety for women in India?	Review: Violences Against Women in India	0.9059	0.8981	0.9028
I turn 21 today. What advice would you give me to have a lucrative future?	I turned 21 today. What are some advice's you would give me which would help me in the future?	I would give you advice to have a lucrative future.	0.6995	0.8767	0.7704
What is the best thing about being lazy?	What are some of the best things about being lazy?	Being lazy is the best thing about being lazy	0.9042	0.8955	0.9007
What business can I start with $100?	How do I start new business with $100?	What business can I start with $100?	1.0	1.0	1.0
Is sex important for relationships?	Why sex is so important in a relationship?	Is sex important for relationships?	1.0	1.0	1.0
Why did Bhishma alienate Karna from the War?	Why did Bhishma alienate Karna from the War?	Bhishma wanted Karna to marry him.	0.8171	0.8153	0.8164
Which university ranks first in the world?	Which university is the best in the world?	university of oxford	0.5923	0.6187	0.6029
What's the difference between Computer Engineering and Computer Science degree?	What is the difference between computer science, computer engineering, and software engineering?	Computer Engineering and Computer Science degree	0.7644	0.816	0.785
How do I start learning python web programming from scratch to advanced?	How can I start learning Python's language?	How to start learning python from scratch to advanced	0.8251	0.9015	0.8557
What are the safety precautions on handling shotguns proposed by the NRA in Massachisetts?	What are the safety precautions on handling shotguns proposed by the NRA in Georgia?	safety precautions on handling shotguns proposed by the NRA	0.9291	0.9153	0.9236
Why do ATM passwords (PINs) mostly have 4 digits?	Why does an ATM pin use 4 characters?	Why do ATM passwords mostly have 4 digits?	0.9711	0.9693	0.9704
What was the role played by Gonna Gannareddy during the period of Kakatiya Rule in Andhra Pradesh?	What is the role of Gonna Gannareddy in promoting Kakatiya kingdom in Andhra Pradesh?	vizier	0.0341	0.6133	0.2658
What is the answer to 1+1=?	What is the answer to 1 + 1?	1+1=1	0.8975	0.8537	0.88
What are the reasons behind the Bangalore incident on New Yearâ€™s Eve? Why did it happen?	What exactly happened in Bangalore on the midnight of new year eve?	Bangalore incident on New Year's Eve	0.8791	0.7825	0.8405
What are some good Indian Web Series to watch?	What are some Indian web series to look out for?	What are some good Indian Web Series	0.9569	0.923	0.9433
What are your views over discontinuation of Rs 500 and Rs 1000 notes? What will be itâ€™s outcome ?	What is your opinion of Indian government taking off Rs 500 and Rs 1000 currency notes?	What are your views over discontinuation of Rs 500 and Rs 1000 notes? What will be itâ€TMs outcome?	0.996	0.9914	0.9942
How can I get into an Ivy League college?	How do I get into top 30 universities including the Ivy League schools?	You must be a member of the Ivy League.	0.736	0.7671	0.7484
What is the best way to carry money from India to Russia?	What is the best way to send money from India to Russia?	The best way to carry money from India to Russia	0.9887	0.9394	0.969
How could I get rid of Facebook addiction?	How should I get rid of addiction?	How could I get rid of Facebook addiction?	1.0	1.0	1.0
How do I start day trading?	How can one start to day trade (as a student)?	You can start day trading by buying a lot of stocks. You can start day trading by buying a lot of stocks.	0.8449	0.7586	0.8104
What is the best TV series and why?	What are the best TV series one should really watch?	best tv series and why	0.9481	0.8551	0.9109
What does the Quran say about triple talaq?	What does the Quran says about Talaq in Islam?	What does the Quran say about triple talaq?	1.0	1.0	1.0
"What was Brabantio's reaction to Othello's marriage to Desdemona in ""Othello"" by William Shakespeare?"	"What does Brabantio think of Othello in ""Othello"" by William Shakespeare?"	disgusted	0.1046	0.6332	0.316
How can I get taller after 25?	Will I be taller even after 21?	How to get taller after 25?	0.994	0.937	0.9712
What countries could comprise Great Britain?	What countries are in Great Britain?	Great Britain is a country in England.	0.7751	0.7389	0.7606
When are the flying cars coming out?	When will flying cars be invented and how will they work?	2020	0.3554	0.5665	0.4398
How many hours/days does jury duty take up?	How many days should I expect jury duty to take both being on call and sitting around in the prospective juror waiting room?	0	0.0141	0.5597	0.2323
What should I do to get a software job?	How do I get a job in the software industry?	What should I do to get a software job?	1.0	1.0	1.0
How do you become the top writer on Quora?	If I wanted to make it a goal to be a top writer on Quora, how can I accomplish this?	You must be a top writer on Quora.	0.8026	0.8789	0.8331
What are your New Years resolutions for 2017?	What will be your New Year's resolution for 2017?	What are your New Years resolutions for 2017?	1.0	1.0	1.0
What's your opinion about John Pilger's documentary The Coming War on China?	What do you think about John Pilger's new film The Coming War On China?	good	0.1425	0.5809	0.3179
In what way can I join Indian defence service?	What should I study in order to join rhe Indian defence?	How can I join Indian defence service?	0.9783	0.9457	0.9653
Why aren't women attracted to men that are nice to them?	Why don't some women or girls like or find nice guys attractive?	men are nice to them	0.6635	0.852	0.7389
How do I track a cell phone by number for free?	How can I track a mobile number and the location from any sofware?	Find the number of the cell phone you want to track and click on it.	0.8119	0.7978	0.8063
Which is best gaming laptop under 60000?	Which is the best gaming laptop under 60k INR?	Gaming laptop under 60000	0.9016	0.8844	0.8947
What are the good options for mobile phones under 15000?	Which are best mobile phones to buy under 15000?	What are the good options for mobile phones under 15000	0.9948	0.9659	0.9832
Does masturbation causes low sperm count?	Does masturbating twice in a week result in low sperm count?	Masturbation causes low sperm count.	0.9466	0.927	0.9388
What is the best free VPN service?	What are some good free VPN providers for Linux?	Free VPN	0.831	0.8325	0.8316
What is the best IFB washing machine service center in hyderabad?	What is the best IFB washing machine repair center in hyderabad?	IFB washing machine service center	0.789	0.8683	0.8207
What is the most believable paranormal experience you have had or heard of?	Have you ever had any paranormal experience?	paranormal experiences	0.8338	0.7716	0.8089
Should homosexuality be decriminalised in India?	Should homosexuality be legalised in India? Why or why not?	Should homosexuality be decriminalised in India?	1.0	1.0	1.0
What are some good ideas for a first date?	What is a good idea for your first date ever?	What are some good ideas for a first date?	1.0	1.0	1.0
I'm an experienced professional in my field [business and design]. Books and courses help too little on learning. How can I improve myself?	I'm an experienced professional in my field [business and design]. Books and courses help me too little on learning. How can I improve myself?	books and courses help too little on learning. How can I improve myself	0.8429	0.8959	0.8641
What Quora means?	"Does Quora means"" question or answer""?"	What Quora means?	1.0	1.0	1.0
What are the major human caused threats to biodiversity? How can we solve this threats?	How can human activities have an effect on biodiversity?	What are the major human caused threats to biodiversity	0.942	0.8967	0.9239
Is there any way to recover e-mails that were deleted from a Gmail account?	How can I retrieve and recover deleted items from my Gmail after mistakenly deleting and clearing trash?	Is there any way to recover e-mails deleted from a Gmail account?	0.9873	0.9865	0.987
How do I invest money into stock market?	What is the best way to learn about stock market?	How to invest money into stock market	0.9787	0.9067	0.9499
After our 1st date that lasted only 90 mins for dinner, he tried to kiss me and texted saying he had a lot of fun. Is he interested or being nice?	Would a guy try and kiss you and text right after the first date that he had fun if he was just being polite and not interested?	being nice	0.2921	0.7466	0.4739
What is the size or volume of a photon?	What is the size of a photon?	The mass of a photon	0.675	0.8607	0.7493
Why do I dream every single time I sleep?	Why do I dream every night?	Why do I dream every single time I sleep?	1.0	1.0	1.0
How do I turn off screen overlay in Android 6.0?	How do I turn off screen overlay?	Press and hold the power button until the screen overlay is turned off.	0.7165	0.7638	0.7354
Why do Chennai people hate Hindi?	Why do Tamil people hate Hindi language so much?	Why do Chennai people hate Hindi?	1.0	1.0	1.0
What is the placement scene like at National Institute of Design (NID), Ahmedabad for post-graduates?	What is the placement scene at National Institute of Design (NID), Ahmedabad for M.Des. (Graphic Design)?	The placement scene at National Institute of Design (NID), Ahmedabad for post-graduates is as follows:	0.9561	0.9249	0.9436
How long can it take to learn Java pretty well?	How long would it take me to learn Java?	How long can it take to learn Java pretty well	0.9905	0.9624	0.9793
What are the must see temples in Tamil Nadu?	What are the must visit temple towns in Tamil Nadu?	Tamil Nadu temples	0.8594	0.8284	0.847
What is the role of Indo-Israel relationship in favour of India?	What is the role ofIndo-Israel relationship in favour of India?	The Indo-Israeli relationship in favour of India	0.9332	0.9076	0.923
Which dating site has the most customization to find what your looking for?	Which dating app is the most customizable to find what youâ€™re looking for?	dating.com	0.7393	0.6754	0.7137
What are some good hotels at Jaipur city?	What are some of the good hotels in Jaipur?	Hotels in Jaipur	0.9131	0.8158	0.8742
Will the new Rs 2000 notes carry a nano GPS chip? Will it really Help?	Is 2000 rupee note really not going to come with chip?	Will the new Rs 2000 notes carry a nano GPS chip?	0.9607	0.963	0.9616
What are some of the things that make you angry?	What makes one angry?	What are some of the things that make you angry?	1.0	1.0	1.0
Why does Arvind Kejriwal always comment against Modi?	Why is Arvind Kejriwal fighting against Narendra Modi?	Arvind Kejriwal always comment	0.7473	0.9026	0.8094
How should I earn money online working from home?	What is the easiest way to earn money from online?	How to earn money online working from home	0.9778	0.9096	0.9505
Where do phrases come from?	Where does the phrase come from?	the English language	0.3435	0.5956	0.4443
What are the best books for studying thermodynamics?	What's the best book for studying thermodynamics?	Thermodynamics	0.6419	0.8298	0.7171
What is the difference between true love and attachment?	What is the difference between attachment and love?	What is the difference between true love and attachment?	1.0	1.0	1.0
What is the most difficult programming language?	Which is the most difficult programming language to learn and why?	programming languages	0.7166	0.7577	0.733
Have you ever met someone from Quora?	Have you ever met anyone in real life from Quora?	Have you ever met someone from Quora?	1.0	1.0	1.0
What's your idea about islam?	What you think about Islam?	What's your idea about Islam?	1.0	1.0	1.0
How can I create a chatbot from scratch?	How can I create my own chatbot from scratch?	How can I create a chatbot from scratch?	1.0	1.0	1.0
What can I do to improve my question on Quora?	What is the best way to improve my questions on Quora?	How can I improve my question on Quora?	0.9856	0.9502	0.9714
How do anyone learn something?	How can I learn something?	How do you learn something?	0.9602	0.9433	0.9534
What is the best laptop to buy in the range of INR 20000-25000?	What will be best laptop Under 25000 INR ?	Rs. 20000-25000	0.5559	0.772	0.6423
How can a girl know if she is virgin or not?	How does a girl know whether she's a virgin?	How can she know if she is virgin	0.937	0.8785	0.9136
What do Pakistani history books teach about Indians?	What do history textbooks in Pakistani schools say about the partition with India?	What do Pakistani history books teach about Indians?	1.0	1.0	1.0
What reasons does India have to worry about cpec?	Why is India frustrated and upset by Pakistan CPEC?	India has to worry about cpec	0.9184	0.8921	0.9079
When is the apt time to join coaching for cat 2017?	When is the right time to join a coaching institute for CAT 2017?	The apt time to join coaching for cat 2017 is april	0.958	0.8979	0.934
What are the safety precautions on handling shotguns proposed by the NRA in Arkansas?	What are the safety precautions on handling shotguns proposed by the NRA in Montana?	safety precautions on handling shotguns proposed by the NRA in Arkansas	0.9724	0.9487	0.9629
If energy is not conserved in an expanding universe, can infinite energy be created? Is it potential energy or potentiality infinite?	If infinite dark/vacuum/gravitational energy can be created as universe expands, does it mean that their potentiality or potential energy is infinite?	Is infinite energy created if energy is not conserved in an expanding universe?	0.9157	0.9333	0.9227
How can I view deleted Instagram messages or text?	How do you get deleted Instagram chats?	Go to the Instagram app and click on the message or text you want to view.	0.7187	0.7924	0.7482
Has the Obama health care been a success?	Is Obama care successful?	yes	0.0677	0.5954	0.2788
What is Balaji Viswanathan's opinion on the Indian Prime Minister Modi's new policy about illegalization of 500 and 1000 currency notes?	What do you think about ban on Rs. 500 and Rs. 1000 currency notes?	What is Balaji Viswanathan's opinion on Indian Prime Minister Modi's new policy about illegalization of 500 and 1000 currency notes?	0.9994	0.9958	0.998
What are the best places to visit in Kerala in March in 3 days? We will arrive cochin airport by 10 AM on March 14th and leave on March 16th 7 PM.	What are the best 10 places to visit in Kerala including any falls?	We will arrive at Cochin airport by 10 AM on March 14th and leave on March 16th 7 PM.	0.689	0.9213	0.7819
Which is known as a pink city of India?	Which city is known as the pink city of India?	chennai	0.3947	0.6599	0.5008
Can Hrithik Roshan ever play James Bond?	Would Bollywood star Hrithik Roshan make a good James Bond?	Can Hrithik Roshan play James Bond?	0.9794	0.9807	0.9799
What are examples of passive transport?	What is passive transport? What are some examples?	Examples of passive transport include:	0.9751	0.8672	0.9319
What are the best Hollywood movies ever?	Which is the all time best Hollywood movie?	best movies of all time	0.7796	0.7827	0.7808
What are some examples of technology developed in Ancient Rome?	What are some inventions made in Ancient Rome?	technology developed in Ancient Rome	0.894	0.8821	0.8892
Is it possible to reach the Sun in future?	Is it possible to reach the Sun?	yes	0.1584	0.5976	0.3341
What is the best Taobao Agent?	Which Taobao agent is the best?	Taobao Agent	0.8738	0.8499	0.8642
Which laptop is best under 25000?	What is the best laptop to buy under 25000INR?	Laptops under 25000	0.8558	0.8385	0.8489
What is a consultant and what do they do?	What do consultants do?	Consultant (disambiguation) is a term used to refer to a person or group of people who work in a particular field or industry.	0.8291	0.6833	0.7708
How can the toughness of steel be improved?	How we can improve toughness of steel?	It can be improved by using a heat treatment.	0.3549	0.7448	0.5109
What is the most frustrating thing?	What are some of the most frustrating things?	What is the most frustrating thing?	1.0	1.0	1.0
What is the ideal way of loosing weight?	How do I lose weight?	The ideal way of loosing weight is to exercise.	0.8424	0.8853	0.8596
Does payumoney charge?	Does payumoney have any setup charges?	Does payumoney charge?	1.0	1.0	1.0
What's the best investment?	What is best option to investment?	What's the best investment?	1.0	1.0	1.0
Why is Pokemon Go not releasing in India as Ingress was released in India?	Why is PokÃ©mon GO not released in India ?	Ingress was released in India	0.6526	0.8548	0.7335
What glue should I use to fill in and reattached a shoe sole?	What is the best glue for shoe repair?	Glue to fill in a shoe sole	0.9119	0.8656	0.8934
What is a strong point that we aren't living in a simulation?	How do we know that we are not living in a computer simulation?	We aren't living in a simulation	0.8503	0.8925	0.8672
How do I hack a Whatsapp of another user without having access to their phone?	How can I read my husbands secret WhatsApp messages without using his phone?	How to hack a Whatsapp of another user without having access to their phone	0.994	0.9496	0.9762
Do cable companies track which programs subscribers watch?	Can cable/satellite TV companies track what you're watching?	yes	0.0842	0.6014	0.2911
How do I overcome depression or low self esteem?	How do I get over the depression that is caused by low self esteem?	You can overcome depression or low self esteem by taking medication.	0.8842	0.8761	0.881
How do I become a cricketer?	How can I became cricketer?	You must be at least 18 years old to be a cricketer.	0.7602	0.7489	0.7557
How does one cope with and eventually overcome Social Anxiety Disorder?	What are the best ways to overcome my social anxiety?	Social Anxiety Disorder	0.7205	0.792	0.7491
What is homeostasis? What are some examples?	What are two examples of homeostasis?	homeostasis is a state of being.	0.7013	0.7908	0.7371
What is your review of the 2016 MacBook Pro?	What is your review of the MacBook Pro (2016)?	good	0.2225	0.6015	0.3741
What is the best/fastest way to learn multiple languages?	What is the best/fastest way to learn to speak a second language?	The best/fastest way to learn multiple languages	0.9858	0.9314	0.964
What makes a girl tomboy?	What makes a girl a tomboy?	What makes a girl tomboy?	1.0	1.0	1.0
How can one become an effective digital marketer?	What should I learn to become a great digital marketer?	How can one become an effective digital marketer?	1.0	1.0	1.0
I have forgotten my password for Facebook and no primary email and phone is added to my account. How can I get access to my account?	How can we get to know my current Facebook password which I forget?	I have forgotten my password for Facebook and no primary email and phone is added to my account. How can I get access to my account	0.999	0.9876	0.9944
Does girls like oral sex?	What do girls like about oral sex?	yes girls like oral sex	0.9357	0.8821	0.9143
How is US president Donald Trump important for India?	What will be the impact of election of Donald Trump as the 45th US president, on India?	Donald Trump is important for India	0.9089	0.8709	0.8937
Science: Is air a compound or a mixture?	Is pure air a compound or a mixture?	Air is a compound or mixture.	0.9479	0.8394	0.9045
What are the safety precautions on handling shotguns proposed by the NRA in Vermont?	What are the safety precautions on handling shotguns proposed by the NRA in Hawaii?	safety precautions on handling shotguns	0.8204	0.8554	0.8344
Who is top 1 world famous astrologers?	Who are top 10 world famous astrologers?	charles dickens	0.2187	0.5822	0.3641
Investing: Would a Greek default be the sovereign equivalent of Lehman Brothers?	Would a Greek default be the sovereign equivalent of Lehman Brothers?	Investing: Would a Greek default be the sovereign equivalent of Lehman Brothers?	1.0	1.0	1.0
What are some weekend gateways from Bangalore and pune at about equal distance?	What hill station/picnic spot is of equal distance from Bangalore and Pune?	Bangalore and Pune	0.7021	0.789	0.7369
What is the best logo design?	What is a good logo design?	best logo design	0.9487	0.811	0.8936
Has the Ancient Khmer Empire been scientifically tested?	Have the Ancient Incans been scientifically tested?	yes	0.0699	0.5766	0.2726
Does Jake Williams have a girlfriend or wife?	Is Jake Williams married?	Jake Williams has a girlfriend.	0.9014	0.8389	0.8764
What happen when helmet of the astronaut are opened in the space?	What would really happen to an astronaut who took off his helmet in space?	The helmet of the astronaut are opened in space	0.9023	0.8902	0.8975
What's an interesting secret you care to share anonymously?	What is the sexual secret that you can't share with anyone but anonymously?	What's an interesting secret you care to share anonymously?	1.0	1.0	1.0
What would have happened to India if Hitler won WW2?	What would have happened to India of Hitler won WW2?	Hitler would have won the war	0.7283	0.8073	0.7599
What is the striking difference between India and the Rest of the World?	What makes India different from the rest of the world?	India and the Rest of the World	0.7472	0.8556	0.7906
What do you think about the rapist Donald Trump?	What do you think about Donald Trump and his campaign?	What do you think about Donald Trump?	0.7617	0.9498	0.8369
Is it okay to watch porn?	Is it illegal to watch porn?	Is it okay to watch porn	0.9911	0.9394	0.9704
Why should we answer on Quora?	What motivates people with technical experience to answer questions on Quora?	Why should we answer on Quora?	1.0	1.0	1.0
What is your New Yearâ€™s Resolution(s) for 2017?	What are some new year resolutions for 2017?	What is your New Year's Resolution(s) for 2017	0.917	0.891	0.9066
How do I make a game like clash of clans?	How do I build a game like Clash of Clans?	You can make a game like Clash of Clans by creating a Clash of Clans account.	0.854	0.836	0.8468
Where do you see yourself after 5 years?	Where do you see yourself five years from now?	You see yourself after 5 years.	0.8719	0.8954	0.8813
At what time do some of you Harvard students sleep?	How many hours a day do Harvard students sleep? At what time do Harvard students sleep?	midnight	0.3545	0.6298	0.4646
How is it to be Armenian in Turkey?	What is it like to be an Armenian living in Turkey?	It is to be Armenian in Turkey	0.8868	0.8658	0.8784
How can I help my schools community?	How can I be beneficial to my school community?	How can I help my schools community?	1.0	1.0	1.0
What are some ways to reduce reverberation?	How can I reduce reverberation?	How to reduce reverberation	0.9533	0.9023	0.9329
What is Bulletproof Coffee good for?	Does bulletproof coffee work? Is it legitimate?	Drinking coffee	0.557	0.7192	0.6219
"What is your opinion about the ban upon torrent sites in India and the rule of ""3 years of jail"" that came along with the ban?"	"What is your opinion about the ban upon torrent websites in India and the rules of ""3 years of imprisonment"" that came along with the ban?"	What is your opinion about the ban upon torrent sites in India	0.8958	0.9135	0.9029
Which is the best smartphone to buy for 15000 INR?	Which is the best Smartphone under INR 15000 ?	The best smartphone for 15000 INR	0.9622	0.8942	0.935
Which is the best gift that you have ever received?	What is the best gift that you ever recieved?	Which is the best gift that you have ever received?	1.0	1.0	1.0
How do I Recondition batteries for a while?	How do you recondition a battery?	Recondition batteries for a while.	0.8606	0.8863	0.8709
What are some ways to get rid of zits on my earlobe?	How do I get rid of a zit on my ear?	How to get rid of zits on your earlobe	0.98	0.906	0.9504
How can we learn all the trigonometric formulae with Euler's formula?	How can we learn trigonometric formula with Euler's formula?	Euler's formula	0.6786	0.8462	0.7456
Why's watching and playing snooker different?	Why is watching and playing snooker different?	watching and playing snooker different	0.942	0.8804	0.9174
Should the education system in India change?	Do we need to change the  education system of India? If yes then why?	Should the education system in India change?	1.0	1.0	1.0
What are examples of continuous variables?	What are examples of discrete variables and continuous variables?	The following are examples of continuous variables:	0.9559	0.8672	0.9204
How do I apply for a PAN card online?	How do I apply for PAN Card?	How do I apply for a PAN card online?	1.0	1.0	1.0
I'll be graduating in 2018. Am I eligible for appearing for CFA level 1 in June 2017?	I'll be graduating in 2018. Am I eligible to appear for CFA level 1 in June 2017?	I'll be graduating in 2018. Are I eligible for appearing for CFA level 1 in June 2017?	0.9984	0.9944	0.9968
What will be the impact of banning Rs. 500 and Rs. 1000 on the Indian economy?	How will the ban of 1000 and 500 rupee notes affect the Indian economy?	impact of banning Rs. 500 and Rs. 1000	0.8834	0.8796	0.8819
What can I do on python?	What can I do if I learn Python?	What can I do on Python?	1.0	1.0	1.0
What's the best way to get my driverâ€™s license number and information if I lost my driverâ€™s license and need the number now?	How can I get my drivers licences number if lost it in tx?	What's the best way to get my driver's license number and information if I lost my driver's license	0.8771	0.8791	0.8779
How will the interest rate hike by the US Federal Reserve impact indian economy now and in future?	How would the interest rate hike by the US Federal Reserve impact the Indian economy?	How will the interest rate hike by the US Federal Reserve impact Indian economy now and in future?	1.0	1.0	1.0
What would be the fastest way to get rid of a cold?	How do I get rid of a cold fast?	drink a glass of water.	0.4497	0.6585	0.5332
What are the disadvantages of oil energy? What are the advantages?	What are the advantages and disadvantages of oil as an energy source?	What are the disadvantages of oil energy?	0.9695	0.974	0.9713
Where are the best places to visit in Italy?	What are the best places to visit in Italy and why?	best places to visit in italy	0.9721	0.8897	0.9391
What is the difference between a connotation and a denotation?	What is the difference between denotation and connotation?	Connotation Connotation may refer to:	0.7091	0.7963	0.744
What should everyone know about dating?	I have never dated before, what should I know about dating?	What should everyone know about dating	0.9793	0.9445	0.9654
How one can achieve inner peace?	How did you find inner peace?	How one can achieve inner peace?	1.0	1.0	1.0
Is it good to have sex before a marriage?	Is it fine to have sex before marriage?	Is it good to have sex before a marriage	0.9922	0.961	0.9797
How do non-INFJ feel about INFJs?	How do you perceive INFJs?	Non-INFJ	0.7448	0.8538	0.7884
How can I improve shortsightedness?	How do I improve my shortsightedness?	How can I improve shortsightedness?	1.0	1.0	1.0
Who will win in the UP election?	Who will 2017 up elections?	the UP election	0.685	0.8214	0.7396
Are there more lesbians than gay men?	What is the ratio of lesbians to gay men?	Are there more lesbians than gay men?	1.0	1.0	1.0
